Plot Title: 9811661-santarosa,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811661, SEN S/N: 9811661)","Temp, °C (LGR S/N: 9811661, SEN S/N: 9811661)",Coupler Detached (LGR S/N: 9811661),End Of File (LGR S/N: 9811661)
362,6/28/2011,6:30:00,201721,12.497,,
363,6/28/2011,6:45:00,201450,12.497,,
364,6/28/2011,7:00:00,190271,12.401,,
365,6/28/2011,7:15:00,164865,12.401,,
366,6/28/2011,7:30:00,127421,12.401,,
367,6/28/2011,7:45:00,110479,12.401,,
368,6/28/2011,8:00:00,109065,12.401,,
369,6/28/2011,8:15:00,108668,12.401,,
370,6/28/2011,8:30:00,108569,12.401,,
371,6/28/2011,8:45:00,108556,12.497,,
372,6/28/2011,9:00:00,108519,12.497,,
373,6/28/2011,9:15:00,108569,12.594,,
374,6/28/2011,9:30:00,108507,12.594,,
375,6/28/2011,9:45:00,108482,12.69,,
376,6/28/2011,10:00:00,108469,12.69,,
377,6/28/2011,10:15:00,108556,12.787,,
378,6/28/2011,10:30:00,108680,12.883,,
379,6/28/2011,10:45:00,108704,12.883,,
380,6/28/2011,11:00:00,108766,12.98,,
381,6/28/2011,11:15:00,108816,13.076,,
382,6/28/2011,11:30:00,108853,13.076,,
383,6/28/2011,11:45:00,108952,13.173,,
384,6/28/2011,12:00:00,109014,13.269,,
385,6/28/2011,12:15:00,108939,13.269,,
386,6/28/2011,12:30:00,108827,13.365,,
387,6/28/2011,12:45:00,108827,13.461,,
388,6/28/2011,13:00:00,108790,13.558,,
389,6/28/2011,13:15:00,108827,13.654,,
390,6/28/2011,13:30:00,108752,13.654,,
391,6/28/2011,13:45:00,108690,13.75,,
392,6/28/2011,14:00:00,108715,13.846,,
393,6/28/2011,14:15:00,108876,14.038,,
394,6/28/2011,14:30:00,108913,14.134,,
395,6/28/2011,14:45:00,109012,14.134,,
396,6/28/2011,15:00:00,109049,14.23,,
397,6/28/2011,15:15:00,108987,14.23,,
398,6/28/2011,15:30:00,108974,14.325,,
399,6/28/2011,15:45:00,108974,14.325,,
400,6/28/2011,16:00:00,109012,14.421,,
401,6/28/2011,16:15:00,109049,14.517,,
402,6/28/2011,16:30:00,108949,14.613,,
403,6/28/2011,16:45:00,109048,14.613,,
404,6/28/2011,17:00:00,109061,14.709,,
405,6/28/2011,17:15:00,108999,14.709,,
406,6/28/2011,17:30:00,108999,14.709,,
407,6/28/2011,17:45:00,108974,14.709,,
408,6/28/2011,18:00:00,108974,14.709,,
409,6/28/2011,18:15:00,109023,14.804,,
