,Dis Oxygen Sat.DOsat@JemezRiverSciEdCenter,Dis Oxygen Sat.DOsat@JemezRiverSciEdCenter,Dis Oxygen Sat.DOsat@JemezRiverSciEdCenter,Dis Oxygen Sat.DOsat@JemezRiverSciEdCenter,O2 (Dis).DOsat@JemezRiverSciEdCenter,O2 (Dis).DOsat@JemezRiverSciEdCenter,O2 (Dis).DOsat@JemezRiverSciEdCenter,O2 (Dis).DOsat@JemezRiverSciEdCenter,PH Voltage.pH_1@JemezRiverSciEdCenter,PH Voltage.pH_1@JemezRiverSciEdCenter,PH Voltage.pH_1@JemezRiverSciEdCenter,PH Voltage.pH_1@JemezRiverSciEdCenter,pH.pH@JemezRiverSciEdCenter,pH.pH@JemezRiverSciEdCenter,pH.pH@JemezRiverSciEdCenter,pH.pH@JemezRiverSciEdCenter,Sp Cond.SpCond@JemezRiverSciEdCenter,Sp Cond.SpCond@JemezRiverSciEdCenter,Sp Cond.SpCond@JemezRiverSciEdCenter,Sp Cond.SpCond@JemezRiverSciEdCenter,Turbidity.Turbidity@JemezRiverSciEdCenter,Turbidity.Turbidity@JemezRiverSciEdCenter,Turbidity.Turbidity@JemezRiverSciEdCenter,Turbidity.Turbidity@JemezRiverSciEdCenter,Water Temp.WaterTemp@JemezRiverSciEdCenter,Water Temp.WaterTemp@JemezRiverSciEdCenter,Water Temp.WaterTemp@JemezRiverSciEdCenter,Water Temp.WaterTemp@JemezRiverSciEdCenter
mm/dd/yyyy HH:MM:SS,%,,,,mg/l,,,,mV,,,,pH,,,,mS/cm,,,,NTU,,,,°C,,,
Date-Time,Value,Grade,Approval,Interpolation Code,Value,Grade,Approval,Interpolation Code,Value,Grade,Approval,Interpolation Code,Value,Grade,Approval,Interpolation Code,Value,Grade,Approval,Interpolation Code,Value,Grade,Approval,Interpolation Code,Value,Grade,Approval,Interpolation Code
05/03/2013 05:45:52,81.6,,,1,9.52,,,1,,,,1,7.81,,,1,0.764,,,1,7.4,,,1,8.52,,,1
05/03/2013 06:00:51,81.7,,,1,9.56,,,1,,,,1,7.81,,,1,0.763,,,1,7.5,,,1,8.38,,,1
05/03/2013 06:15:51,81.7,,,1,9.59,,,1,,,,1,7.81,,,1,0.765,,,1,7.5,,,1,8.25,,,1
05/03/2013 06:30:51,81.8,,,1,9.64,,,1,,,,1,7.81,,,1,0.764,,,1,6.9,,,1,8.13,,,1
05/03/2013 06:45:52,81.9,,,1,9.68,,,1,,,,1,7.81,,,1,0.763,,,1,6.7,,,1,7.99,,,1
05/03/2013 07:00:51,82.1,,,1,9.73,,,1,,,,1,7.81,,,1,0.765,,,1,6.2,,,1,7.89,,,1
05/03/2013 07:15:52,82.3,,,1,9.77,,,1,,,,1,7.81,,,1,0.764,,,1,6.5,,,1,7.8,,,1
05/03/2013 07:30:52,82.5,,,1,9.82,,,1,,,,1,7.81,,,1,0.765,,,1,5.9,,,1,7.71,,,1
05/03/2013 07:45:51,82.7,,,1,9.86,,,1,,,,1,7.81,,,1,0.764,,,1,5.9,,,1,7.62,,,1
05/03/2013 08:00:51,82.9,,,1,9.9,,,1,,,,1,7.81,,,1,0.763,,,1,5.7,,,1,7.56,,,1
05/03/2013 08:15:52,83.3,,,1,9.95,,,1,,,,1,7.81,,,1,0.763,,,1,5.3,,,1,7.56,,,1
05/03/2013 08:30:52,83.9,,,1,10,,,1,,,,1,7.82,,,1,0.764,,,1,5.4,,,1,7.66,,,1
05/03/2013 08:45:52,84.4,,,1,10.03,,,1,,,,1,7.82,,,1,0.763,,,1,4.9,,,1,7.78,,,1
05/03/2013 09:00:52,85.1,,,1,10.06,,,1,,,,1,7.83,,,1,0.762,,,1,5.3,,,1,7.99,,,1
05/03/2013 09:15:52,85.6,,,1,10.07,,,1,,,,1,7.83,,,1,0.763,,,1,5.6,,,1,8.19,,,1
05/03/2013 09:30:52,86.1,,,1,10.08,,,1,,,,1,7.84,,,1,0.763,,,1,5.1,,,1,8.41,,,1
05/03/2013 09:45:52,86.6,,,1,10.07,,,1,,,,1,7.84,,,1,0.765,,,1,5.1,,,1,8.69,,,1
05/03/2013 10:00:52,87.1,,,1,10.04,,,1,,,,1,7.85,,,1,0.764,,,1,5.3,,,1,8.99,,,1
05/03/2013 10:15:51,87.5,,,1,10.01,,,1,,,,1,7.86,,,1,0.764,,,1,5,,,1,9.34,,,1
05/03/2013 10:30:51,87.9,,,1,9.97,,,1,,,,1,7.86,,,1,0.765,,,1,5,,,1,9.71,,,1
05/03/2013 10:45:51,88.3,,,1,9.92,,,1,,,,1,7.87,,,1,0.765,,,1,5,,,1,10.1,,,1
